trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-206.39090117705595,"{0: 8, 1: 0, 2: 15, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-189.29096742476105,"{0: 10, 1: 0, 2: 6, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-263.7386505617629,"{0: 6, 1: 0, 2: 9, 3: 2, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-407.9520136821597,"{0: 11, 1: 0, 2: 11, 3: 2, 4: 6}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-419.6534157203116,"{0: 9, 1: 0, 2: 12, 3: 4, 4: 5}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",35,0,-513.9855300702989,"{0: 10, 1: 0, 2: 13, 3: 6, 4: 6}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-241.16593514196978,"{0: 9, 1: 0, 2: 5, 3: 3, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-232.44460090100512,"{0: 17, 1: 0, 2: 10, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-358.3301404710446,"{0: 11, 1: 0, 2: 14, 3: 0, 4: 5}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-261.9160488301478,"{0: 7, 1: 0, 2: 9, 3: 0, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-200.68796507912805,"{0: 12, 1: 0, 2: 11, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-305.45711655948344,"{0: 8, 1: 0, 2: 13, 3: 0, 4: 4}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-232.20686435881925,"{0: 7, 1: 0, 2: 10, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-168.32069868797163,"{0: 20, 1: 0, 2: 8, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-148.40893538830892,"{0: 19, 1: 0, 2: 10, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,13,-48.55775864407117,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,12,-225.58686018616817,"{0: 8, 1: 0, 2: 6, 3: 0, 4: 4}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-206.58439030047924,"{0: 19, 1: 0, 2: 8, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-309.30097093651904,"{0: 10, 1: 1, 2: 9, 3: 0, 4: 5}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-192.09514883356957,"{0: 16, 1: 0, 2: 6, 3: 0, 4: 3}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-219.51654916347556,"{0: 8, 1: 0, 2: 9, 3: 0, 4: 3}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-187.14850337483003,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
3,True,"{'a': 0.0, 'e': 0.0}",30,7,-182.42902047208406,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 3}",1
4,True,"{'a': 0.0, 'e': 0.0}",30,0,-292.5086176242488,"{0: 14, 1: 0, 2: 12, 3: 0, 4: 4}",0
5,True,"{'a': 0.0, 'e': 0.0}",30,0,-168.21338872028662,"{0: 20, 1: 0, 2: 8, 3: 0, 4: 2}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-169.09200675569144,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 2}",0
7,True,"{'a': 0.0, 'e': 0.0}",30,0,-157.20893256498272,"{0: 21, 1: 0, 2: 7, 3: 0, 4: 2}",0
8,True,"{'a': 0.0, 'e': 0.0}",30,0,-164.49784770381626,"{0: 20, 1: 0, 2: 8, 3: 0, 4: 2}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,0,-273.3171744567227,"{0: 11, 1: 0, 2: 10, 3: 0, 4: 4}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,11,-50.8419360949676,"{0: 4, 1: 0, 2: 5, 3: 0, 4: 0}",1
