trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.999}",30,0,-417.8295815471189,"{0: 11, 1: 0, 2: 8, 3: 6, 4: 5}",0
2,False,"{'a': 0.5, 'e': 0.998001}",30,0,-351.38093266813036,"{0: 8, 1: 0, 2: 15, 3: 5, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.997002999}",30,0,-320.6075493406807,"{0: 11, 1: 0, 2: 10, 3: 8, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.996005996001}",20,0,-230.48242696868704,"{0: 9, 1: 0, 2: 4, 3: 5, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.995009990004999}",20,0,-363.1761674814399,"{0: 6, 1: 0, 2: 5, 3: 3, 4: 6}",0
6,False,"{'a': 0.5, 'e': 0.994014980014994}",30,0,-388.6632712037281,"{0: 12, 1: 0, 2: 11, 3: 1, 4: 6}",0
7,False,"{'a': 0.5, 'e': 0.993020965034979}",20,0,-231.0030518874715,"{0: 9, 1: 0, 2: 4, 3: 5, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.992027944069944}",20,0,-291.85718628481044,"{0: 7, 1: 0, 2: 6, 3: 3, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.991035916125874}",20,0,-325.19180727755406,"{0: 4, 1: 0, 2: 9, 3: 3, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.9900448802097482}",20,0,-160.68554084439256,"{0: 9, 1: 0, 2: 9, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9890548353295384}",25,0,-317.0518729365791,"{0: 10, 1: 0, 2: 8, 3: 3, 4: 4}",0
12,False,"{'a': 0.5, 'e': 0.9880657804942089}",25,0,-252.81037237722646,"{0: 9, 1: 0, 2: 12, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9870777147137147}",25,0,-418.2314857088325,"{0: 6, 1: 0, 2: 10, 3: 3, 4: 6}",0
14,False,"{'a': 0.5, 'e': 0.986090636999001}",25,0,-311.91602881341583,"{0: 10, 1: 0, 2: 10, 3: 0, 4: 5}",0
15,False,"{'a': 0.5, 'e': 0.985104546362002}",30,0,-425.4431196677612,"{0: 11, 1: 0, 2: 9, 3: 4, 4: 6}",0
16,False,"{'a': 0.5, 'e': 0.9841194418156399}",30,0,-308.8615291439582,"{0: 11, 1: 0, 2: 15, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.9831353223738244}",25,0,-347.5232702646873,"{0: 8, 1: 0, 2: 11, 3: 1, 4: 5}",0
18,False,"{'a': 0.5, 'e': 0.9821521870514505}",25,0,-298.20967628717904,"{0: 9, 1: 0, 2: 10, 3: 3, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.981170034864399}",25,0,-403.4153204642219,"{0: 9, 1: 0, 2: 5, 3: 5, 4: 6}",0
20,False,"{'a': 0.5, 'e': 0.9801888648295347}",20,0,-279.2997048346285,"{0: 10, 1: 0, 2: 3, 3: 2, 4: 5}",0
21,False,"{'a': 0.5, 'e': 0.9792086759647052}",30,0,-474.15104169207143,"{0: 5, 1: 0, 2: 15, 3: 5, 4: 5}",0
22,False,"{'a': 0.5, 'e': 0.9782294672887404}",25,0,-238.50539176512868,"{0: 8, 1: 0, 2: 14, 3: 2, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.9772512378214517}",25,0,-359.9016005673147,"{0: 4, 1: 0, 2: 16, 3: 1, 4: 4}",0
