trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-233.90920064099546,"{0: 5, 1: 0, 2: 12, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-294.55417696058043,"{0: 5, 1: 0, 2: 10, 3: 1, 4: 4}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-300.15996217604237,"{0: 7, 1: 0, 2: 7, 3: 1, 4: 5}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-335.95953959195003,"{0: 13, 1: 0, 2: 6, 3: 9, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-381.9876751618021,"{0: 10, 1: 0, 2: 12, 3: 4, 4: 4}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-194.83501247571203,"{0: 6, 1: 0, 2: 12, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-333.5586800484163,"{0: 5, 1: 0, 2: 8, 3: 2, 4: 5}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-364.0073470145448,"{0: 13, 1: 0, 2: 9, 3: 3, 4: 5}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-304.4503899174905,"{0: 5, 1: 0, 2: 9, 3: 2, 4: 4}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-324.3923820345317,"{0: 5, 1: 0, 2: 7, 3: 4, 4: 4}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-338.05021608693403,"{0: 11, 1: 0, 2: 14, 3: 1, 4: 4}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-201.814246929283,"{0: 8, 1: 0, 2: 9, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-378.19282311582106,"{0: 12, 1: 0, 2: 10, 3: 3, 4: 5}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-283.98123094793357,"{0: 14, 1: 0, 2: 11, 3: 2, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-387.392183920104,"{0: 11, 1: 0, 2: 11, 3: 3, 4: 5}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-241.3791387181059,"{0: 7, 1: 0, 2: 9, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-288.22219413248126,"{0: 11, 1: 0, 2: 13, 3: 5, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-365.65966811417127,"{0: 13, 1: 0, 2: 11, 3: 0, 4: 6}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-355.42440806927414,"{0: 9, 1: 0, 2: 8, 3: 3, 4: 5}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-396.6813899963017,"{0: 6, 1: 0, 2: 12, 3: 1, 4: 6}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-308.3695494740416,"{0: 7, 1: 0, 2: 13, 3: 2, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-336.67541818343364,"{0: 6, 1: 0, 2: 14, 3: 1, 4: 4}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-386.7894887859577,"{0: 6, 1: 0, 2: 11, 3: 3, 4: 5}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-161.15914797462398,"{0: 8, 1: 0, 2: 9, 3: 3, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-369.96897184116466,"{0: 12, 1: 0, 2: 9, 3: 5, 4: 4}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-301.71022880168636,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 5}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-180.93733604465558,"{0: 8, 1: 0, 2: 9, 3: 2, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-415.7506154795051,"{0: 13, 1: 0, 2: 8, 3: 2, 4: 7}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-158.93958383129345,"{0: 10, 1: 0, 2: 7, 3: 2, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-361.3980002823104,"{0: 8, 1: 0, 2: 16, 3: 3, 4: 3}",0
